id,segment,current brand,brand,brand,brand,brand,brand,brand,brand,brand,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,monthly_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,upfront_cost,term,term,term,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,vehicle_worth,range,range,range,range,range,charge,charge,charge,charge,charge,energy,energy,vehicle_type,vehicle_type
id,segment,current brand,Audi,Chevrolet,Jaguar,Kia,Nissan,Tesla,Toyota,VW,120,200,250,400,500,750,1000,1250,2000,4000,6000,8000,10000,24,36,48,20000,30000,40000,80000,100000,20,40,80,180,300,3,10,50,100,160,Electric Vehicle,Plug-in Hybrid,Sedan,SUV
10,Millenial,Kia,-1.0916026396155418,-1.0534822687274825,-1.0985961367701689,-1.0231121445307796,-0.9296899499156661,5.599100181498591,-0.9808738209712791,0.5782567790323265,2.5463452420543504,1.755716865900374,2.0700426480525334,0.9613974338743114,0.8195538834214315,-1.4383316748543118,-2.088322203757067,-4.62640219469162,0.11742164745919852,0.07837113391075529,-0.004313386594411883,-0.07391441560287548,-0.11756497917266656,0.7233423929279196,-0.09680417050591039,-0.6265382224220095,-2.6656657830313284,-1.8754314045411409,-1.1225917943938093,2.1468334613415063,3.5168555206247714,-0.3372071925708817,-0.2730076984752822,-0.14601794625795123,0.14906310415367524,0.60716973315044,-0.6364881251661814,-0.5647154981386715,-0.1447853108409929,0.31189615370361046,1.0340927804422355,-1.1559815416198191,1.1559815416198191,-0.7789341466418186,0.7789341466418186
11,Millenial,Tesla,-0.8509563151088667,-0.8162413377292861,-1.0635094827496567,-1.0683377278181887,-0.814124831362113,3.9619225521356176,1.383622540021775,-0.7323753973892808,3.434944774789332,2.5153841330691344,2.5397624405645685,1.5065583211087454,0.5540775071458932,-1.2783001426019842,-4.298632367622404,-4.973794666453286,0.46746244322792296,0.28061661096369306,-0.05032456853578482,-0.22854800781197815,-0.46920647784385305,1.0413134530667763,-0.037037887682134674,-1.004275565384642,-1.4976330894848755,-1.0323046872519852,-0.5879113630065806,1.260625558793878,1.8572235809495625,-0.73958289068246,-0.5945125120071397,-0.29861803818883026,0.33098422531157756,1.301729215566853,-0.33443780123354583,-0.2946151073338351,-0.06113651423847416,0.17434615979993184,0.5158432630059234,-0.29543827366199604,0.29543827366199604,1.611000118754787,-1.611000118754787
12,Millenial,Tesla,-0.5851263294945398,-0.8354947367094963,0.2819196550394063,-0.8551605614022749,-0.5637276397607982,3.6023580316273995,-0.558593255200315,-0.4861751640993812,4.519469183368592,3.851639340890916,3.2188636234860306,2.1075142805548426,1.1200787855895307,-1.7503739385956312,-4.507679212396541,-8.559512062897742,0.19778630474420628,0.07512720976761258,0.028947156043580835,-0.07792398081166113,-0.22393668974373837,0.9983980289551493,0.18785835919838867,-1.1862563881535388,-0.4180439840646074,-0.2645907690744888,-0.17533599760839674,0.29218966050232464,0.5657810902451682,-0.595134680011335,-0.4740187319878282,-0.23859757752290084,0.26330502178149273,1.0444459677405717,-0.33059363553864884,-0.2936985121744868,-0.08097529786923652,0.14316846228835678,0.5620989832940153,-1.1675555390331112,1.1675555390331112,-2.011364981088998,2.011364981088998
13,Millenial,Toyota,-0.8870774219296189,1.3716819763768493,0.23301709113018887,-0.8980195612350801,-0.6577849522709567,1.0310747353668739,0.5723043112184146,-0.765196178656671,5.581732480132246,4.995709463334306,4.2035268431841395,1.5073975073646197,0.19167619051973261,-3.140061680126502,-4.851544864955139,-8.488435939453398,0.22207221461667306,0.16221030176870518,0.007482636850588031,-0.07633919775563236,-0.3154259554803341,0.3133677179423977,-0.04222758055120179,-0.27114013739119547,-1.9280164600989909,-1.3733228688147996,-0.7327547506676182,1.8720832260324856,2.162010853548923,-0.9360825057746642,-0.7512914913380117,-0.37614861893740503,0.5081871055692202,1.555335510480861,-0.456732672021659,-0.40849067475139617,-0.10814983993730087,0.27778198635033646,0.6955912003600196,-1.0984367325717812,1.0984367325717812,-1.5104500515236579,1.5104500515236579
14,Millenial,Audi,-0.4685432187584506,-0.5115860967457517,-0.5642835949271994,-1.1669639459666932,1.3040850281202203,2.922388673194085,-0.7410120183151293,-0.774084826601082,3.1367819114532733,2.524841612298866,1.6550693196068247,1.0511007948536522,0.4574693559895002,-0.6369024370024587,-3.54517980166322,-4.643180755536438,0.26283811669150997,0.09425781688358975,-0.024643034664295016,-0.1490496058593529,-0.18340329305145175,0.5167979279877237,-0.22931547681190922,-0.28748245117581406,-1.6289567228463213,-1.130043909950494,-0.6176297909118831,1.262229212903212,2.1144012108054864,-0.6667603417834721,-0.522553834274513,-0.2795165580094807,0.3832185795634049,1.0856121545040607,-0.3404264202198829,-0.30319842285032206,-0.08584967486857747,0.14559605582027568,0.5838784621185068,-0.9511826800037207,0.9511826800037207,0.21903093504998616,-0.21903093504998616
15,Millenial,Tesla,-0.6573212561109704,-1.0347459546809041,-0.3719316732219331,-0.9487387212991063,0.7555709711211709,1.674820161772373,0.4417138995274632,0.14063257289190623,7.909949635538043,6.177824284253424,5.244444472379801,2.67784356743065,0.43242451208344335,-0.5637518056978905,-10.098723399269765,-11.780011266717707,0.11385752338010499,0.05404551703349984,0.02083985334424293,-0.04701567142395616,-0.14172722233389154,0.419530581445823,0.09592189051145539,-0.5154524719572782,-1.5749741748117603,-1.2160600423384729,-0.6721397740660746,1.1893614165306778,2.2738125746856293,-0.8852687451501595,-0.7280245651235456,-0.35452937127006723,0.47207336967082525,1.4957493118729472,-0.23982452627208584,-0.21168688429727975,-0.053522732649459503,0.14798872953244624,0.3570454136863787,-1.4285069925947573,1.4285069925947573,-0.7235618599225121,0.7235618599225121
16,Millenial,Tesla,-0.07892850720427036,-0.8590752509140099,-0.8143154814926816,-1.0534973443549702,-0.849027899687553,2.978281503794361,0.44687431378638864,0.22968866607273597,2.064823150095295,1.7251043351360356,1.4374344871632898,0.8213614268819092,-0.6469956421709253,-0.46841784397799824,-2.522455869799793,-2.410854043327811,0.19588747161640113,0.07660313620752593,0.0229822466560079,-0.16770824878222979,-0.12776460569770498,0.43178013844998686,0.5130850073738451,-0.944865145823832,-1.4287796501161103,-1.029638267393053,-0.6284600345472486,0.9815373668609468,2.1053405851954663,-0.8908999810445422,-0.7156514312877361,-0.3676399652287463,0.5501729422956769,1.4240184352653467,-0.14938966075609333,-0.13305561295179308,-0.04537436646278488,0.10621175122458792,0.22160788894608346,-0.5212618929069113,0.5212618929069113,-0.4157924297566362,0.4157924297566362
17,Millenial,Tesla,0.11575599452590857,0.5764295507359758,-0.8611234599071085,-0.5293307362131632,-0.7111948764803794,0.8975626467563815,0.25981487027703487,0.25208601030535016,4.8128123815291515,4.329357206339579,4.118414492225957,1.9432276072599644,-0.12685890130407262,-0.9179435137096004,-6.990016160940585,-7.168993111400392,0.3323206208988445,0.1126451163365571,-0.055165228768375485,-0.11243268957557584,-0.27736781889145,0.30355465172958107,0.299694472105706,-0.6032491238352868,-2.3894184735098545,-1.5752548809021802,-0.992076125628254,1.9616786938371136,2.995070786203178,-1.0529800290397018,-0.8506053757896233,-0.48017897565683054,0.6156601296623478,1.7681042508238078,-0.15063702275784302,-0.1345898236460908,-0.03699035205038172,0.09920681737279588,0.2230103810815197,-0.7445455682570605,0.7445455682570605,-2.7219385952852493,2.7219385952852493
18,Millenial,Tesla,-0.687519182258764,-0.366413073757097,-0.9237566438491439,-0.9711520706004715,-0.9040576105357969,2.4521358982361594,1.683787205811276,-0.2830245230461621,5.552562357127734,4.966464893422796,3.8522300864417627,2.480987908914531,0.8798300026185792,-4.264617656795611,-4.023281525334651,-9.44417606639515,0.3355493636646522,0.13580261255638676,0.0424781777031229,-0.21530889367502215,-0.2985212602491393,0.661458008716969,0.12771052169129393,-0.7891685304082632,-3.0944679593796773,-2.1441977958986063,-1.142486831773411,2.7084281303745215,3.6727244566771713,-1.008093009542046,-0.8107801963060095,-0.4672032021842193,0.46229720525693563,1.8237792027753394,-0.4208847572431957,-0.37176989326288645,-0.09116973605579198,0.21833994418591385,0.6654844423759599,-1.2774308706016326,1.2774308706016326,1.3467840044377022,-1.3467840044377022
19,Millenial,Tesla,0.9483670529861115,-0.3019236404918699,-0.053667441847726316,-0.9867650771901237,-0.026566669598063086,0.6014627576562963,-0.059079851897358426,-0.12182712961726616,2.9485265578029374,2.411532721376563,1.7627091891279858,1.1923854690027271,0.8934477389623652,-0.8591627472924888,-2.666238328149915,-5.683200600830175,0.2673127910180445,0.1471676986784597,-0.020848436389601266,-0.20975660492868348,-0.18387544837821929,0.20268364749117218,-0.1722803058586886,-0.030403341632483594,-2.5839723730855946,-1.914005249867254,-0.9739888657192539,2.0440307095172603,3.4279357791548417,-0.5265844648383902,-0.42707970522251193,-0.2239860938662374,0.28648368989448747,0.8911665740326519,-0.7077851063467621,-0.6295856632173613,-0.1901772302705439,0.4073934516537733,1.1201545481808943,-1.1136391612133425,1.1136391612133425,-1.4319691396620624,1.4319691396620624
